単語,意味,補足
accident,事故、事件,名詞
activity,活動,名詞
advice,助言、アドバイス,名詞
airplane,飛行機,名詞
area,地域、面積,名詞
article,記事,名詞
artist,芸術家、アーティスト,名詞
attention,注意、注目,名詞
beach,海岸、浜辺,名詞
building,建物、ビル,名詞
calendar,カレンダー、暦,名詞
chance,機会、チャンス,名詞
climate,気候,名詞
company,会社、仲間,名詞
culture,文化,名詞
custom,習慣、風習,名詞
dictionary,辞書,名詞
earth,地球、土,名詞
event,出来事、行事,名詞
experience,経験、体験,名詞
factory,工場,名詞
festival,祭り,名詞
flight,飛行、フライト,名詞
future,未来、将来,名詞
government,政府,名詞
history,歴史,名詞
hobby,趣味,名詞
hospital,病院,名詞
information,情報,名詞
journey,旅行、旅,名詞
accept,受け入れる,動詞
agree,同意する,動詞
allow,許可する、許す,動詞
appear,現れる、～のように見える,動詞
arrive,到着する,動詞
become,～になる,動詞
belong,所属する（belong to ～：～に属する）,動詞
borrow,借りる,動詞
bring,持って来る,動詞
build,建てる、造る,動詞
cancel,取り消す、キャンセルする,動詞
carry,運ぶ、持ち歩く,動詞
catch,捕まえる、（電車などに）間に合う,動詞
choose,選ぶ,動詞
collect,集める,動詞
continue,続ける,動詞
create,創造する、作り出す,動詞
decide,決める、決意する,動詞
describe,描写する、説明する,動詞
destroy,破壊する,動詞
discover,発見する,動詞
explain,説明する,動詞
forget,忘れる,動詞
happen,起こる,動詞
improve,改善する、向上させる,動詞
increase,増える、増やす,動詞
invite,招待する,動詞
join,参加する、加わる,動詞
leave,出発する、残す、去る,動詞
lend,貸す,動詞
notice,気づく,動詞
offer,提供する、申し出る,動詞
receive,受け取る,動詞
remember,覚えておく、思い出す,動詞
return,戻る、返す,動詞
abroad,外国へ［で］（副）,形容詞・副詞
almost,ほとんど（副）,形容詞・副詞
already,すでに、もう（副）,形容詞・副詞
ancient,古代の（形）,形容詞・副詞
awful,ひどい、嫌な（形）,形容詞・副詞
convenient,便利な（形）,形容詞・副詞
crowded,混雑した（形）,形容詞・副詞
dangerous,危険な（形）,形容詞・副詞
different,異なる、違う（形）,形容詞・副詞
difficult,難しい（形）,形容詞・副詞
famous,有名な（形）,形容詞・副詞
foreign,外国の（形）,形容詞・副詞
important,重要な（形）,形容詞・副詞
impossible,不可能な（形）,形容詞・副詞
local,地元の、地域の（形）,形容詞・副詞
necessary,必要な（形）,形容詞・副詞
nervous,緊張して、不安な（形）,形容詞・副詞
particular,特定の、特別な（形）,形容詞・副詞
popular,人気のある（形）,形容詞・副詞
possible,可能な（形）,形容詞・副詞
quiet,静かな（形）,形容詞・副詞
several,いくつかの（形）,形容詞・副詞
similar,似ている（形）,形容詞・副詞
traditional,伝統的な（形）,形容詞・副詞
useful,役に立つ（形）,形容詞・副詞
a few,いくつかの、少しの,熟語・前置詞表現
a lot of,たくさんの,熟語・前置詞表現
be able to,～することができる,熟語・前置詞表現
be interested in,～に興味がある,熟語・前置詞表現
for a long time,長い間,熟語・前置詞表現
give up,諦める,熟語・前置詞表現
look forward to,～を楽しみに待つ,熟語・前置詞表現
take care of,～の世話をする,熟語・前置詞表現
turn off,（電気などを）消す,熟語・前置詞表現
wake up,目を覚ます、起きる,熟語・前置詞表現
